,Basin,Area,q,p
0,LTC,2021.1309337670602,32.42142973778869,169.68923950195312
1,RMS,15250.54811256502,161.6160866958802,746.1421508789062
2,HTP,13007.8987818939,225.05909175084773,511.1531677246094
3,ARD,11996.537660357168,372.0693796596506,766.2444458007812
4,PCH,730.7852685048367,243.4287178831146,533.0390014648438
5,LTY,3465.361252744378,248.46091994539654,457.4941101074219
6,CNT,3049.0425762745945,127.62949644195253,375.6130065917969
7,BUN,4287.018638411648,122.01196543288137,280.0090026855469
8,BRJ,114470.99141413879,1397.811982913364,1263.5169677734375
9,YNP,4193.837662499754,276.7222999694549,455.826904296875
10,CZT,69004.68829572028,1375.8881358835336,1891.094970703125
11,RQN,91122.6280722371,3904.39977507099,1813.5389404296875
12,PCP,265821.78194591677,1193.2943044610888,1503.7166748046875
